iter	Passed	Remaining
0	67	67430
1	68	34048
2	68	22909
3	69	17328
4	70	13976
5	70	11737
6	71	10152
7	72	8967
8	73	8064
9	73	7322
10	74	6716
11	75	6213
12	76	5792
13	77	5425
14	77	5100
15	78	4813
16	78	4564
17	79	4342
18	80	4145
19	80	3964
20	81	3800
21	82	3653
22	82	3519
23	83	3392
24	84	3278
25	84	3172
26	85	3082
27	86	2994
28	86	2909
29	87	2831
30	88	2758
31	88	2688
32	89	2623
33	90	2561
34	90	2502
35	91	2449
36	92	2399
37	92	2350
38	93	2303
39	94	2260
40	94	2218
41	95	2177
42	96	2137
43	96	2100
44	97	2064
45	98	2032
46	98	2000
47	99	1970
48	99	1940
49	100	1910
50	101	1883
51	101	1857
52	102	1830
53	103	1804
54	103	1780
55	104	1757
56	104	1736
57	105	1714
58	106	1694
59	106	1674
60	107	1655
61	108	1637
62	108	1618
63	109	1599
64	109	1581
65	110	1565
66	111	1549
67	111	1529
68	112	1514
69	112	1500
70	113	1485
71	114	1472
72	114	1458
73	115	1445
74	116	1431
75	116	1418
76	117	1406
77	117	1394
78	118	1382
79	119	1371
80	119	1360
81	120	1349
82	121	1338
83	121	1327
84	122	1315
85	122	1305
86	123	1293
87	123	1284
88	124	1275
89	125	1266
90	125	1258
91	126	1249
92	127	1240
93	127	1231
94	128	1223
95	128	1214
96	129	1207
97	130	1199
98	130	1191
99	131	1184
100	132	1177
101	132	1167
102	133	1159
103	133	1152
104	134	1145
105	134	1138
106	135	1131
107	136	1125
108	137	1120
109	137	1113
110	138	1107
111	138	1101
112	139	1095
113	140	1089
114	140	1083
115	141	1076
116	141	1071
117	142	1065
118	143	1059
119	143	1054
120	144	1049
121	145	1044
122	145	1036
123	146	1031
124	146	1026
125	147	1021
126	147	1016
127	148	1010
128	148	1005
129	149	1001
130	150	996
131	150	992
132	151	988
133	152	983
134	152	979
135	153	974
136	154	970
137	154	967
138	155	963
139	156	958
140	156	955
141	157	951
142	158	947
143	158	943
144	159	939
145	159	935
146	160	932
147	161	928
148	162	925
149	162	922
150	163	918
151	164	915
152	164	911
153	165	908
154	165	904
155	166	900
156	167	897
157	167	894
158	168	890
159	169	887
160	169	884
161	170	881
162	171	878
163	171	875
164	172	871
165	172	868
166	173	866
167	174	863
168	174	860
169	175	857
170	176	854
171	176	851
172	177	848
173	177	844
174	178	841
175	179	838
176	179	836
177	180	834
178	181	831
179	181	828
180	182	824
181	182	821
182	183	819
183	184	816
184	184	813
185	185	811
186	186	808
187	186	806
188	187	803
189	187	801
190	188	798
191	189	796
192	189	793
193	190	791
194	191	788
195	191	786
196	192	784
197	193	781
198	193	779
199	194	777
200	195	775
201	195	773
202	196	770
203	196	768
204	197	765
205	198	763
206	198	761
207	199	759
208	200	757
209	200	755
210	201	753
211	202	751
212	202	748
213	203	746
214	203	744
215	204	742
216	205	740
217	205	738
218	206	736
219	207	734
220	207	732
221	208	730
222	208	728
223	209	726
224	210	724
225	210	721
226	211	720
227	212	718
228	212	716
229	213	714
230	214	712
231	214	710
232	215	708
233	215	706
234	216	704
235	217	702
236	217	701
237	218	699
238	219	697
239	219	695
240	220	693
241	220	691
242	221	689
243	222	688
244	222	686
245	223	684
246	224	682
247	224	681
248	225	679
249	225	677
250	226	676
251	227	674
252	227	672
253	228	670
254	229	669
255	229	667
256	230	665
257	231	664
258	231	662
259	232	661
260	233	659
261	233	658
262	234	656
263	234	654
264	235	652
265	236	651
266	236	649
267	237	648
268	238	646
269	238	645
270	239	644
271	240	642
272	240	640
273	241	639
274	242	638
275	242	636
276	243	635
277	243	633
278	244	632
279	245	630
280	245	629
281	246	627
282	247	626
283	247	624
284	248	623
285	248	621
286	249	620
287	250	618
288	250	617
289	251	615
290	252	614
291	252	612
292	253	611
293	253	609
294	254	608
295	255	606
296	255	605
297	256	603
298	256	602
299	257	601
300	258	599
301	258	598
302	259	596
303	260	595
304	260	593
305	261	592
306	262	591
307	262	590
308	263	588
309	264	587
310	264	586
311	265	585
312	265	583
313	266	582
314	267	581
315	267	579
316	268	578
317	269	577
318	269	575
319	270	574
320	270	573
321	271	571
322	272	570
323	272	569
324	273	567
325	274	566
326	274	565
327	275	564
328	275	562
329	276	561
330	277	560
331	277	559
332	278	557
333	279	556
334	279	555
335	280	553
336	280	552
337	281	551
338	282	550
339	282	549
340	283	548
341	284	546
342	284	545
343	285	544
344	285	542
345	286	541
346	287	540
347	287	539
348	288	538
349	289	537
350	289	536
351	290	534
352	291	533
353	291	532
354	292	531
355	292	529
356	293	528
357	294	527
358	294	526
359	295	525
360	296	524
361	296	523
362	297	521
363	297	520
364	298	519
365	299	518
366	299	517
367	300	516
368	301	514
369	301	513
370	302	512
371	302	511
372	303	510
373	304	509
374	304	507
375	305	506
376	306	505
377	306	504
378	307	503
379	308	502
380	308	501
381	309	500
382	309	499
383	310	498
384	311	497
385	311	495
386	312	494
387	313	493
388	313	492
389	314	491
390	314	490
391	315	489
392	316	488
393	316	487
394	317	486
395	317	484
396	318	484
397	319	482
398	319	481
399	320	480
400	321	479
401	321	478
402	322	477
403	322	476
404	323	475
405	324	474
406	324	473
407	325	472
408	326	471
409	326	470
410	327	469
411	328	468
412	328	467
413	329	465
414	329	464
415	330	463
416	331	462
417	331	461
418	332	460
419	332	459
420	333	458
421	334	457
422	334	456
423	335	455
424	336	454
425	336	453
426	337	452
427	338	451
428	338	450
429	339	449
430	340	449
431	340	448
432	341	447
433	341	445
434	342	445
435	343	444
436	343	443
437	344	442
438	345	441
439	345	440
440	346	439
441	347	438
442	347	437
443	348	436
444	348	435
445	349	434
446	350	433
447	350	432
448	351	431
449	352	430
450	352	429
451	353	428
452	354	427
453	354	426
454	355	425
455	356	424
456	356	423
457	357	422
458	357	421
459	358	420
460	359	419
461	359	418
462	360	418
463	361	417
464	361	416
465	362	415
466	363	414
467	363	413
468	364	412
469	365	411
470	365	410
471	366	409
472	366	408
473	367	407
474	367	406
475	368	405
476	369	404
477	369	403
478	370	403
479	371	402
480	371	401
481	372	400
482	373	399
483	373	398
484	374	397
485	375	396
486	375	395
487	376	394
488	377	394
489	377	393
490	378	392
491	378	391
492	379	390
493	380	389
494	380	388
495	381	387
496	382	386
497	382	385
498	383	384
499	384	384
500	384	383
501	385	382
502	385	381
503	386	380
504	387	379
505	388	378
506	388	378
507	389	377
508	390	376
509	390	375
510	391	374
511	392	373
512	392	372
513	393	371
514	394	371
515	394	370
516	395	369
517	395	368
518	396	367
519	397	366
520	398	365
521	398	365
522	399	364
523	399	363
524	400	362
525	401	361
526	401	360
527	402	359
528	403	358
529	403	358
530	404	357
531	404	356
532	405	355
533	406	354
534	406	353
535	407	352
536	408	351
537	408	351
538	409	350
539	410	349
540	410	348
541	411	347
542	411	346
543	412	345
544	413	345
545	413	344
546	414	343
547	415	342
548	415	341
549	416	340
550	417	339
551	417	339
552	418	338
553	419	337
554	419	336
555	420	335
556	421	334
557	421	334
558	422	333
559	422	332
560	423	331
561	424	330
562	424	329
563	425	328
564	425	327
565	426	327
566	427	326
567	427	325
568	428	324
569	429	323
570	429	322
571	430	321
572	430	321
573	431	320
574	432	319
575	432	318
576	433	317
577	434	316
578	434	316
579	435	315
580	435	314
581	436	313
582	437	312
583	437	311
584	438	311
585	439	310
586	440	309
587	441	309
588	441	308
589	442	307
590	442	306
591	443	305
592	444	304
593	444	304
594	445	303
595	446	302
596	446	301
597	447	300
598	447	299
599	448	299
600	449	298
601	449	297
602	450	296
603	451	295
604	451	295
605	452	294
606	453	293
607	453	292
608	454	291
609	455	290
610	455	290
